run,gen,phenotype,hit,phenotype_in_cache,fitness_cached,cache_key,fitness_full_train,fake_hit,fitness_diff
10,0,x[1],False,,,e2a9b133a6d2a5a03669520efa07a5b6,0.37125748502994016,False,0.0
10,0,x[4],False,,,10195c5a9f40b895403947b280374a80,0.37125748502994016,False,0.0
10,0,x[4],True,x[4],0.37125748502994016,10195c5a9f40b895403947b280374a80,0.37125748502994016,False,0.0
10,0,x[6],False,,,3192b30c807b75345433d1dbf68909b3,0.3652694610778443,False,0.0
10,0,x[6],True,x[6],0.3652694610778443,3192b30c807b75345433d1dbf68909b3,0.3652694610778443,False,0.0
10,0,x[1],True,x[1],0.37125748502994016,e2a9b133a6d2a5a03669520efa07a5b6,0.37125748502994016,False,0.0
10,0,x[4],True,x[4],0.37125748502994016,10195c5a9f40b895403947b280374a80,0.37125748502994016,False,0.0
10,0,x[6],True,x[6],0.3652694610778443,3192b30c807b75345433d1dbf68909b3,0.3652694610778443,False,0.0
10,0,x[1],True,x[1],0.37125748502994016,e2a9b133a6d2a5a03669520efa07a5b6,0.37125748502994016,False,0.0
10,0,x[1],True,x[1],0.37125748502994016,e2a9b133a6d2a5a03669520efa07a5b6,0.37125748502994016,False,0.0
10,0,x[1],True,x[1],0.37125748502994016,e2a9b133a6d2a5a03669520efa07a5b6,0.37125748502994016,False,0.0
10,0,not_(x[4]),False,,,9a01bd46870b94a7c8af97fbc7df5f3d,0.6287425149700598,False,0.0
10,0,"greater_than_or_equal(x[7], x[7])",False,,,7fdbea5d59e2540ed7bdf466080f93a1,0.3652694610778443,False,0.0
10,0,"greater_than_or_equal(x[5], x[2])",False,,,5fa5eae31feaea5e2b0fb7adb44bc2a7,0.32335329341317365,False,0.0
10,0,"less_than_or_equal(x[2],x[0])",False,,,6a18df8d2fdef6ed7bdc895e48c36b1d,0.5329341317365269,False,0.0
10,0,"greater_than_or_equal(x[2], x[0])",False,,,6522118c2081a4950a408ae226800e3b,0.4491017964071856,False,0.0
10,0,"greater_than_or_equal(x[3], x[2])",False,,,9b63ccb2e14f3ffb81f9934adc612d7b,0.3652694610778443,False,0.0
10,0,not_(not_(x[1])),True,"greater_than_or_equal(x[7], x[7])",0.3652694610778443,7fdbea5d59e2540ed7bdf466080f93a1,0.37125748502994016,True,0.005988023952095856
10,0,"greater_than_or_equal(x[7], x[7])",True,"greater_than_or_equal(x[7], x[7])",0.3652694610778443,7fdbea5d59e2540ed7bdf466080f93a1,0.3652694610778443,False,0.0
10,0,"less_than_or_equal(x[5],x[2])",False,,,64a3948b4b5c8aea320274cf464b613e,0.6766467065868264,False,0.0
10,0,not_(x[4]),True,not_(x[4]),0.6287425149700598,9a01bd46870b94a7c8af97fbc7df5f3d,0.6287425149700598,False,0.0
10,0,x[4],True,x[4],0.37125748502994016,10195c5a9f40b895403947b280374a80,0.37125748502994016,False,0.0
10,0,x[6],True,x[6],0.3652694610778443,3192b30c807b75345433d1dbf68909b3,0.3652694610778443,False,0.0
10,0,"greater_than_or_equal(mul(x[7],x[2]), mul(x[2],x[7]))",True,"greater_than_or_equal(x[7], x[7])",0.3652694610778443,7fdbea5d59e2540ed7bdf466080f93a1,0.3652694610778443,False,0.0
10,0,"not_(greater_than_or_equal(x[5], x[3]))",False,,,5cea0dbd1253e3c731ae22f4d077d425,0.5209580838323353,False,0.0
10,0,"less_than_or_equal(add(x[3],x[2]),x[2])",True,not_(x[4]),0.6287425149700598,9a01bd46870b94a7c8af97fbc7df5f3d,0.6347305389221557,True,0.005988023952095856
10,0,"less_than_or_equal(x[7],sub(x[5],x[5]))",True,not_(x[4]),0.6287425149700598,9a01bd46870b94a7c8af97fbc7df5f3d,0.6287425149700598,False,0.0
10,0,"or_(less_than_or_equal(x[0],x[0]),less_than_or_equal(x[0],x[7]))",True,"greater_than_or_equal(x[7], x[7])",0.3652694610778443,7fdbea5d59e2540ed7bdf466080f93a1,0.3652694610778443,False,0.0
10,0,x[4],True,x[4],0.37125748502994016,10195c5a9f40b895403947b280374a80,0.37125748502994016,False,0.0
10,0,"less_than_or_equal(sub(x[0],x[7]),mul(x[7],x[2]))",False,,,e3659cf49fc7b48e8b1cf1c918649dd6,0.4610778443113772,False,0.0
10,0,"greater_than_or_equal(add(x[3],x[3]), pdiv(x[5],x[0]))",False,,,d7ca12669da4b1b826f18a09e0dd923f,0.5269461077844311,False,0.0
10,0,"less_than_or_equal(sub(x[5],x[5]),04.09)",True,"greater_than_or_equal(x[7], x[7])",0.3652694610778443,7fdbea5d59e2540ed7bdf466080f93a1,0.3652694610778443,False,0.0
10,0,"not_(and_(not_(x[6]),x[4]))",True,"greater_than_or_equal(x[7], x[7])",0.3652694610778443,7fdbea5d59e2540ed7bdf466080f93a1,0.3652694610778443,False,0.0
10,0,"greater_than_or_equal(mul(x[3],x[5]), add(x[7],x[5]))",True,not_(x[4]),0.6287425149700598,9a01bd46870b94a7c8af97fbc7df5f3d,0.6347305389221557,True,0.005988023952095856
10,0,not_(x[4]),True,not_(x[4]),0.6287425149700598,9a01bd46870b94a7c8af97fbc7df5f3d,0.6287425149700598,False,0.0
10,0,"less_than_or_equal(sub(x[5],x[7]),pdiv(x[2],x[5]))",False,,,d29c0764dc6d51cbfbe36594ded3504c,0.5209580838323353,False,0.0
10,0,"less_than_or_equal(mul(x[7],x[2]),mul(x[2],x[0]))",False,,,0fda2ec0ce045aebf2a9ef839eefd769,0.5149700598802396,False,0.0
10,0,"greater_than_or_equal(sub(x[7],x[7]), x[0])",False,,,d6c61ca238ebdb6c581aecdbcf4ef734,0.41916167664670656,False,0.0
10,0,"greater_than_or_equal(pdiv(x[7],x[3]), add(x[5],x[0]))",False,,,bf6ae2e69925871480f35d4e4f554a69,0.5748502994011976,False,0.0
10,0,"not_(not_(greater_than_or_equal(x[5], x[5])))",True,"greater_than_or_equal(x[7], x[7])",0.3652694610778443,7fdbea5d59e2540ed7bdf466080f93a1,0.3652694610778443,False,0.0
10,0,"not_(less_than_or_equal(pdiv(x[7],x[0]),mul(x[5],x[2])))",False,,,6583646ea5a10b8aff7d73f79ea0b295,0.38323353293413176,False,0.0
10,0,"greater_than_or_equal(mul(sub(x[0],x[2]),mul(x[3],x[3])), x[2])",False,,,8feef41f94d947245f431c26fbe5c1dc,0.6107784431137724,False,0.0
10,0,"less_than_or_equal(pdiv(sub(x[7],x[7]),pdiv(x[7],x[5])),add(mul(x[3],x[5]),pdiv(x[2],x[5])))",True,"greater_than_or_equal(x[7], x[7])",0.3652694610778443,7fdbea5d59e2540ed7bdf466080f93a1,0.37125748502994016,True,0.005988023952095856
10,0,"not_(greater_than_or_equal(add(x[5],x[0]), x[5]))",True,not_(x[4]),0.6287425149700598,9a01bd46870b94a7c8af97fbc7df5f3d,0.6347305389221557,True,0.005988023952095856
10,0,x[6],True,x[6],0.3652694610778443,3192b30c807b75345433d1dbf68909b3,0.3652694610778443,False,0.0
10,0,"less_than_or_equal(add(pdiv(x[3],x[7]),mul(x[2],x[0])),x[3])",False,,,eaf0a21a2c490ca548c80e86c9c42ae7,0.6047904191616766,False,0.0
10,0,"less_than_or_equal(sub(add(x[0],x[7]),sub(x[0],x[3])),mul(sub(x[0],x[7]),add(x[7],x[5])))",True,not_(x[4]),0.6287425149700598,9a01bd46870b94a7c8af97fbc7df5f3d,0.6287425149700598,False,0.0
10,0,"greater_than_or_equal(pdiv(x[7],91.21), sub(mul(x[0],x[0]),sub(x[2],x[7])))",False,,,e94723a01e33e9e7b670ba7ee9105e72,0.562874251497006,False,0.0
10,0,"less_than_or_equal(pdiv(x[5],pdiv(x[2],x[2])),sub(x[7],add(x[3],x[7])))",True,not_(x[4]),0.6287425149700598,9a01bd46870b94a7c8af97fbc7df5f3d,0.6347305389221557,True,0.005988023952095856
10,0,"not_(or_(less_than_or_equal(x[2],x[3]),less_than_or_equal(x[5],x[3])))",False,,,3c98562cfc1bbd370f1ed178a6451119,0.592814371257485,False,0.0
10,0,"less_than_or_equal(mul(x[2],mul(x[0],x[7])),mul(add(x[2],x[7]),sub(x[2],x[0])))",False,,,6ce5d4f0e73b45236a225631847a299b,0.437125748502994,False,0.0
10,0,"not_(less_than_or_equal(sub(x[7],x[7]),65.08))",True,not_(x[4]),0.6287425149700598,9a01bd46870b94a7c8af97fbc7df5f3d,0.6347305389221557,True,0.005988023952095856
10,0,"not_(less_than_or_equal(mul(x[3],x[3]),x[7]))",False,,,3dd229f2f39de7c032d4b065a822b2de,0.4251497005988024,False,0.0
10,0,"greater_than_or_equal(add(add(x[7],x[3]),sub(x[2],x[7])), pdiv(mul(x[3],x[7]),sub(x[0],x[3])))",False,,,af3d89075a48479c797f70f52d6c8a66,0.3532934131736527,False,0.0
10,0,"not_(less_than_or_equal(add(x[3],x[0]),49.89))",True,not_(x[4]),0.6287425149700598,9a01bd46870b94a7c8af97fbc7df5f3d,0.6347305389221557,True,0.005988023952095856
10,0,"greater_than_or_equal(mul(add(x[3],x[5]),mul(x[3],x[3])), mul(x[0],33.51))",True,"greater_than_or_equal(sub(x[7],x[7]), x[0])",0.41916167664670656,d6c61ca238ebdb6c581aecdbcf4ef734,0.41916167664670656,False,0.0
10,0,"less_than_or_equal(mul(pdiv(x[5],x[2]),sub(x[3],x[3])),mul(add(x[5],x[3]),sub(x[3],x[7])))",False,,,6c7799f455985569632bbea634337f79,0.3293413173652695,False,0.0
10,0,"less_than_or_equal(pdiv(mul(x[2],x[7]),mul(x[0],x[2])),add(mul(x[0],x[0]),mul(x[5],x[5])))",False,,,8ea99bf031fb4719ab46a147695e2b56,0.5988023952095809,False,0.0
